Class;Units;Avg_Mass (kg);Avg_Purchase;Purchase_Min;Purchase_Max;Start_date;End_date;Year;Month
HR;305.0;89.12;23.25;19.83;24.0;2016/03/21;2016/03/27;2016;3
HC;30.0;91.68;16.66;15.0;21.0;2016/03/21;2016/03/27;2016;3
HU;7.0;89.69;15.34;13.0;18.68;2016/03/21;2016/03/27;2016;3
HS;5.0;87.0;13.95;11.0;16.0;2016/03/21;2016/03/27;2016;3
CP;846.0;60.26;24.96;10.0;25.59;2016/03/21;2016/03/27;2016;3
CO;128.0;61.44;24.73;23.71;25.98;2016/03/21;2016/03/27;2016;3
CR;14.0;62.31;24.64;23.0;25.0;2016/03/21;2016/03/27;2016;3
CC;5.0;61.0;15.21;14.0;16.0;2016/03/21;2016/03/27;2016;3
CU;3.0;58.6;13.66;13.0;14.0;2016/03/21;2016/03/27;2016;3
CS;1.0;57.7;13.0;13.0;13.0;2016/03/21;2016/03/27;2016;3
SAS;209.0;143.85;15.53;12.0;18.8;2016/03/21;2016/03/27;2016;3
SAU;47.0;120.51;9.83;8.0;17.0;2016/03/21;2016/03/27;2016;3
P;1.0;336.0;5270.0;2531.0;2080.0;2018/03/19;2018/03/25;2018;3
O;50.0;4807.0;2382.0;2045.0;2703.0;2018/03/19;2018/03/25;2018;3
R;18.0;5118.0;2020.0;1931.0;2288.0;2018/03/19;2018/03/25;2018;3
U;1.0;6350.0;2600.0;2600.0;2600.0;2018/03/19;2018/03/25;2018;3
S;5.0;3048.0;1500.0;1500.0;1500.0;2018/03/19;2018/03/25;2018;3
P;1.0;153.0;6148.0;2259.0;2092.0;2018/03/19;2018/03/25;2018;3
O;148.0;6118.0;2292.0;2099.0;2527.0;2018/03/19;2018/03/25;2018;3
R;9.0;6144.0;2144.0;2000.0;2474.0;2018/03/19;2018/03/25;2018;3
C;1.0;6330.0;1750.0;1750.0;1750.0;2018/03/19;2018/03/25;2018;3
P;6.0;26.0;7481.0;2262.0;1991.0;2018/03/19;2018/03/25;2018;3
O;2.0;3.0;7640.0;2307.0;2003.0;2018/03/19;2018/03/25;2018;3
R;229.0;7660.0;2234.0;1842.0;2612.0;2018/03/19;2018/03/25;2018;3
C;14.0;7700.0;2010.0;1617.0;2232.0;2018/03/19;2018/03/25;2018;3
U;3.0;7908.0;1943.0;1790.0;2035.0;2018/03/19;2018/03/25;2018;3
S;4.0;7844.0;1953.0;1600.0;2320.0;2018/03/19;2018/03/25;2018;3
